Timestamp,Flux
-0.09,-4.55
-0.09,-4.55
-0.19,-9.44
-0.19,-9.44
-0.19,-9.44
-0.19,-9.44
-0.19,-9.44
-0.27,-13.74
-0.27,-13.74
-0.27,-13.74
-0.27,-13.74
-0.27,-13.74
-0.27,-13.74
-0.27,-13.74
-0.35,-17.36
-0.26,-12.81
-0.26,-12.81
-0.16,-7.92
-0.16,-7.92
-0.27,-13.47
-0.35,-17.53
-0.35,-17.53
-0.26,-13.22
-0.26,-13.22
-0.26,-13.22
-0.26,-13.22
-0.26,-13.22
-0.26,-13.22
-0.26,-13.22
-0.19,-9.61
-0.28,-14.09
-0.37,-18.32
-0.37,-18.32
-0.44,-21.8
-0.33,-16.25
-0.32,-16.01
-0.32,-16.01
-0.4,-19.9
-0.4,-19.9
-0.49,-24.35
-0.49,-24.35
-0.57,-28.27
-0.65,-32.58
-0.76,-38.02
-0.84,-41.84
-0.75,-37.37
-0.74,-36.92
-0.74,-36.92
-0.67,-33.44
-0.67,-33.44
-0.59,-29.62
-0.59,-29.62
-0.51,-25.73
-0.6,-29.96
-0.59,-29.27
-0.67,-33.51
-0.59,-29.58
-0.61,-30.31
-0.58,-28.86
-0.58,-28.86
-0.58,-28.86
-0.58,-29.03
-0.66,-32.89
-0.73,-36.71
-0.81,-40.36
-0.88,-44.18
-0.88,-44.18
-0.96,-47.87
-0.87,-43.63
-0.87,-43.7
-0.79,-39.47
-0.87,-43.29
-0.77,-38.26
-0.78,-39.23
-0.71,-35.4
-0.79,-39.47
-0.78,-39.16
-0.59,-29.51
-0.58,-29.2
-0.62,-30.99
-0.54,-27.17
-0.63,-31.27
-0.55,-27.59
-0.66,-32.89
-0.72,-36.02
-0.72,-36.02
-0.64,-32.2
-0.72,-35.95
-0.5,-25.07
-0.32,-15.91
-0.24,-11.85
-0.16,-8.2
-0.28,-13.98
-0.21,-10.47
-0.1,-5.03
-0.0,-0.14
0.17,8.4
0.28,14.16
0.6,29.93
1.01,50.69
1.27,63.47
1.47,73.46
1.69,84.31
1.57,78.38
1.38,69.22
1.38,69.22
1.38,69.22
1.38,69.22
1.38,69.22
1.51,75.52
1.41,70.63
1.32,66.19
0.14,7.13
-1.9,-94.98
-4.16,-208.18
-6.15,-307.26
-7.92,-396.25
-9.63,-481.35
-11.33,-566.65
-13.12,-656.09
-14.98,-748.86
-16.63,-831.31
-17.84,-892.06
-18.57,-928.7
-18.77,-938.38
-18.86,-943.06
-18.86,-943.06
-17.8,-889.75
-15.88,-793.88
-13.89,-694.49
-12.16,-608.18
-10.71,-535.48
-9.15,-457.48
-7.56,-377.75
-5.84,-292.24
-3.99,-199.47
-2.46,-122.81
-1.32,-65.81
-0.66,-32.92
-0.67,-33.37
-0.65,-32.41
-0.75,-37.64
-0.75,-37.64
-0.84,-41.88
-0.84,-41.88
-0.84,-41.88
-0.71,-35.57
-0.71,-35.57
-0.69,-34.54
-0.7,-34.92
-0.7,-34.92
-0.68,-34.2
-0.71,-35.57
-0.73,-36.5
-0.65,-32.68
-0.66,-32.89
-0.55,-27.65
-0.66,-33.16
-0.66,-33.16
-0.73,-36.5
-0.8,-40.02
-0.87,-43.36
-0.87,-43.36
-0.78,-38.81
-0.8,-40.19
-0.8,-40.19
-0.77,-38.47
-0.74,-36.78
-0.64,-32.1
-0.76,-37.78
-0.78,-39.09
-0.85,-42.6
-0.74,-37.09
-0.74,-37.09
-0.67,-33.75
-0.6,-30.24
-0.54,-26.9
-0.54,-26.9
-0.54,-26.9
-0.42,-21.21
-0.42,-21.21
-0.36,-17.87
-0.29,-14.43
-0.36,-17.87
-0.24,-12.19
-0.23,-11.67
-0.66,-33.03
-1.1,-54.79
-1.33,-66.64
-1.56,-78.0
-1.63,-81.69
-1.63,-81.69
-1.63,-81.69
-1.63,-81.69
-1.63,-81.69
-1.63,-81.69
-1.63,-81.69
-1.63,-81.69
-1.67,-83.34
-1.67,-83.34
-1.57,-78.62
-1.08,-53.76
-0.64,-31.99
-0.29,-14.36
-0.06,-3.0
-1.37,-68.43
-6.02,-300.75
-13.09,-654.33
-16.71,-835.58
-16.47,-823.39
-16.29,-814.64
-16.17,-808.31
-16.17,-808.31
-16.06,-803.21
-16.06,-803.21
-16.06,-803.21
-16.06,-803.21
-16.06,-803.21
-16.18,-808.99
-15.96,-797.91
-14.18,-709.02
-8.91,-445.6
-1.51,-75.66
0.92,45.98
-6.88,-343.77
-17.65,-882.73
-25.68,-1284.11
-29.81,-1490.57
-33.07,-1653.29
-37.41,-1870.25
-45.63,-2281.72
-50.53,-2526.68
-50.11,-2505.26
-49.03,-2451.74
-48.59,-2429.7
-48.71,-2435.35
-49.17,-2458.46
-49.35,-2467.62
-48.16,-2408.01
-40.5,-2025.05
-29.9,-1494.84
-22.08,-1103.79
-17.86,-892.99
-14.61,-730.27
-9.76,-487.99
1.72,85.99
4.93,246.27
2.9,145.23
0.62,31.06
-1.15,-57.31
-2.49,-124.25
-3.9,-195.16
-6.63,-331.3
-7.43,-371.49
-7.16,-358.09
-8.46,-422.97
-9.7,-484.79
-12.23,-611.59
-15.47,-773.69
-18.82,-941.1
-24.81,-1240.75
-26.88,-1344.0
-27.95,-1397.41
-28.68,-1434.19
-29.23,-1461.26
-29.95,-1497.52
-30.97,-1548.35
-30.76,-1537.78
-28.56,-1428.13
-26.6,-1330.22
-23.17,-1158.37
-19.13,-956.74
-16.6,-829.93
-15.31,-765.5
-13.66,-683.09
-11.78,-588.83
-8.74,-436.89
-6.85,-342.56
-5.83,-291.45
-5.33,-266.42
-4.67,-233.7
-3.58,-179.01
-2.23,-111.55
-4.45,-222.71
-7.56,-378.1
-10.53,-526.7
-14.25,-712.63
-15.9,-794.91
-11.3,-565.03
-9.06,-453.0
-7.96,-398.21
-7.06,-352.93
-6.28,-314.22
-5.28,-263.94
-4.13,-206.67
-3.01,-150.29
-1.82,-91.23
-1.74,-86.96
-5.64,-282.19
-12.43,-621.72
-13.29,-664.32
-11.16,-557.97
-9.18,-459.24
-11.66,-582.8
-12.7,-635.15
-12.94,-647.06
-13.13,-656.36
-13.2,-659.91
-13.28,-663.87
-13.28,-663.87
-13.28,-663.87
-13.28,-663.87
-12.34,-617.24
-7.71,-385.51
-0.15,-7.3
1.54,76.93
0.41,20.7
-0.0,-0.1
-0.17,-8.75
-0.25,-12.71
-0.37,-18.43
-0.44,-22.08
-0.37,-18.53
-0.37,-18.53
-0.37,-18.53
-0.37,-18.53
-0.45,-22.59
-0.45,-22.59
-0.35,-17.39
-0.35,-17.39
-0.35,-17.39
-0.35,-17.39
-0.35,-17.39
-0.35,-17.39
-0.27,-13.43
-0.15,-7.71
-0.08,-4.06
-0.16,-7.82
-0.26,-12.98
-0.33,-16.63
-0.33,-16.63
-0.25,-12.57
-0.33,-16.43
-0.33,-16.43
-0.33,-16.43
-0.33,-16.43
-0.33,-16.43
-0.33,-16.43
-0.41,-20.35
-0.41,-20.35
-0.41,-20.35
-0.41,-20.35
-0.33,-16.6
-0.23,-11.43
-0.29,-14.29
-0.37,-18.39
-0.37,-18.39
-0.29,-14.53
-0.29,-14.53
-0.29,-14.53
-0.29,-14.53
-0.29,-14.53
-0.36,-18.05
-0.28,-14.12
-0.37,-18.39
-0.37,-18.39
-0.37,-18.39
-0.44,-22.08
-0.53,-26.28
-0.4,-19.77
-0.43,-21.7
-0.43,-21.7
-0.43,-21.7
-0.43,-21.7
-0.43,-21.7
-0.43,-21.7
-0.43,-21.7
-0.47,-23.42
-0.59,-29.27
-0.5,-25.0
-0.5,-25.0
-0.5,-25.0
-0.52,-26.0
-0.44,-21.8
-0.5,-25.17
-0.38,-19.15
-0.38,-19.15
-0.38,-19.15
-0.38,-19.15
-0.38,-19.15
-0.47,-23.63
-0.57,-28.45
-0.46,-23.21
-0.47,-23.59
-0.59,-29.65
-0.67,-33.75
-0.67,-33.75
-0.67,-33.47
-0.76,-38.12
-0.81,-40.4
-0.81,-40.4
-0.93,-46.46
-1.02,-50.8
-1.11,-55.48
-1.11,-55.48
-1.12,-55.83
-1.02,-51.0
