time, raw_flux, amplified flux, voltage, current, speed
190.018,-0.38,-19.00,409.0,1.53,1238
190.100,-0.46,-22.99,409.0,1.53,1238
190.182,-0.46,-22.99,409.0,1.53,1238
190.264,-0.56,-28.09,409.0,1.53,1238
190.346,-0.56,-28.09,409.0,1.53,1238
190.428,-0.63,-31.64,409.0,1.53,1238
190.510,-0.63,-31.64,409.0,1.53,1238
190.592,-0.63,-31.64,409.0,1.53,1238
190.674,-0.49,-24.68,409.0,1.53,1238
190.756,-0.49,-24.68,409.0,1.53,1238
190.838,-0.49,-24.68,409.0,1.53,1238
190.920,-0.40,-19.86,409.0,1.53,1238
191.002,-0.32,-16.11,409.0,1.53,1238
191.084,-0.40,-20.14,409.0,1.53,1238
191.166,-0.47,-23.62,409.0,1.53,1238
191.248,-0.48,-24.20,409.0,1.53,1238
191.330,-0.49,-24.48,409.0,1.53,1238
191.412,-0.49,-24.48,409.0,1.53,1238
191.494,-0.39,-19.38,409.0,1.53,1238
191.576,-0.39,-19.38,409.0,1.53,1238
191.658,-0.32,-15.83,409.0,1.53,1238
191.740,-0.32,-15.83,409.0,1.53,1238
191.822,-0.39,-19.34,409.0,1.53,1238
191.904,-0.39,-19.34,409.0,1.53,1238
191.986,-0.46,-23.17,409.0,1.53,1238
192.068,-0.46,-23.17,409.0,1.53,1238
192.150,-0.55,-27.44,409.0,1.53,1238
192.232,-0.55,-27.44,409.0,1.53,1238
192.314,-0.47,-23.41,409.0,1.53,1238
192.396,-0.40,-19.93,409.0,1.53,1238
192.478,-0.40,-20.00,409.0,1.53,1238
192.560,-0.31,-15.73,409.0,1.53,1238
192.642,-0.38,-19.17,409.0,1.53,1238
192.724,-0.38,-19.17,409.0,1.53,1238
192.806,-0.38,-19.17,409.0,1.53,1238
192.888,-0.38,-19.17,409.0,1.53,1238
192.970,-0.38,-19.17,409.0,1.53,1238
193.052,-0.31,-15.66,409.0,1.53,1238
193.134,-0.31,-15.66,409.0,1.53,1238
193.216,-0.24,-11.84,409.0,1.53,1238
193.298,-0.24,-11.84,409.0,1.53,1238
193.380,-0.15,-07.57,409.0,1.53,1238
193.462,-0.22,-11.22,409.0,1.53,1238
193.544,-0.22,-11.22,409.0,1.53,1238
193.626,-0.22,-11.22,409.0,1.53,1238
193.708,-0.21,-10.70,409.0,1.53,1238
193.790,-0.21,-10.70,409.0,1.53,1238
193.872,-0.22,-11.05,409.0,1.53,1238
194.036,-0.30,-14.80,409.0,1.53,1238
194.118,-0.30,-14.80,409.0,1.53,1238
194.200,-0.30,-14.80,409.0,1.53,1238
194.282,-0.30,-14.80,409.0,1.53,1238
194.364,-0.30,-14.80,409.0,1.53,1238
194.446,-0.30,-14.80,409.0,1.53,1238
194.528,-0.30,-14.80,409.0,1.53,1238
194.610,-0.30,-14.80,409.0,1.53,1238
194.692,-0.22,-11.15,409.0,1.53,1238
194.774,-0.22,-11.15,409.0,1.53,1238
194.856,-0.22,-11.15,409.0,1.53,1238
194.938,-0.15,-7.50,409.0,1.53,1238
195.020,-0.25,-12.56,409.0,1.53,1238
195.102,-0.25,-12.73,409.0,1.53,1238
195.184,-0.18,-08.98,409.0,1.53,1238
195.266,-0.25,-12.46,409.0,1.53,1238
195.348,-0.25,-12.46,409.0,1.53,1238
195.430,-0.25,-12.46,409.0,1.53,1238
195.512,-0.25,-12.46,409.0,1.53,1238
195.594,-0.36,-17.76,409.0,1.53,1238
195.676,-0.43,-21.55,409.0,1.53,1238
195.758,-0.43,-21.55,409.0,1.53,1238
195.840,-0.53,-26.40,409.0,1.53,1238
195.922,-0.63,-31.40,409.0,1.53,1238
196.004,-0.70,-34.94,409.0,1.53,1238
196.086,-0.77,-38.42,409.0,1.53,1238
196.168,-0.77,-38.42,409.0,1.53,1238
196.250,-0.67,-33.36,409.0,1.53,1238
196.332,-0.59,-29.40,409.0,1.53,1238
196.414,-0.59,-29.40,409.0,1.53,1238
196.496,-0.60,-30.16,409.0,1.53,1238
196.578,-0.68,-33.84,409.0,1.53,1238
196.660,-0.68,-33.84,409.0,1.53,1238
196.742,-0.68,-33.84,409.0,1.53,1238
196.824,-0.57,-28.54,409.0,1.53,1238
196.906,-0.50,-24.75,409.0,1.53,1238
196.988,-0.50,-24.75,409.0,1.53,1238
197.152,-0.30,-14.90,409.0,1.53,1238
197.316,-0.32,-15.94,409.0,1.53,1238
197.398,-0.41,-20.38,409.0,1.53,1238
197.480,-0.41,-20.38,409.0,1.53,1238
197.562,-0.48,-23.99,409.0,1.53,1238
197.644,-0.56,-28.09,409.0,1.53,1238
197.726,-0.57,-28.68,409.0,1.53,1238
197.808,-0.58,-29.02,409.0,1.53,1238
197.890,-0.68,-34.12,409.0,1.53,1238
197.972,-0.68,-34.12,409.0,1.53,1238
198.054,-0.77,-38.73,409.0,1.53,1238
198.136,-0.87,-43.59,409.0,1.53,1238
198.218,-0.96,-47.93,409.0,1.53,1238
198.300,-1.10,-54.99,409.0,1.53,1238
198.382,-1.17,-58.50,409.0,1.53,1238
198.464,-1.18,-59.22,409.0,1.53,1238
198.546,-1.09,-54.51,409.0,1.53,1238
198.628,-1.00,-50.06,409.0,1.53,1238
198.710,-1.00,-50.06,409.0,1.53,1238
198.792,-0.93,-46.45,409.0,1.53,1238
198.874,-0.93,-46.65,409.0,1.53,1238
198.956,-0.98,-49.00,409.0,1.53,1238
199.038,-1.00,-49.79,409.0,1.53,1238
199.120,-0.98,-48.89,409.0,1.53,1238
199.202,-1.05,-52.65,409.0,1.53,1238
199.284,-1.09,-54.40,409.0,1.53,1238
199.366,-1.15,-57.47,409.0,1.53,1238
199.448,-1.19,-59.33,409.0,1.53,1238
199.530,-1.13,-56.74,409.0,1.53,1238
199.612,-1.06,-53.23,409.0,1.53,1238
199.694,-1.08,-53.78,409.0,1.53,1238
199.776,-1.15,-57.71,409.0,1.53,1238
199.858,-1.24,-61.84,409.0,1.53,1238
199.940,-1.37,-68.63,409.0,1.53,1238
200.022,-1.46,-72.76,409.0,1.53,1238
200.104,-1.37,-68.45,409.0,1.53,1238
200.186,-1.33,-66.63,409.0,1.53,1238
200.268,-1.33,-66.42,409.0,1.53,1238
200.350,-1.36,-67.83,409.0,1.53,1238
200.432,-1.28,-64.08,409.0,1.53,1238
200.514,-1.27,-63.39,409.0,1.53,1238
200.596,-1.11,-55.47,409.0,1.53,1238
200.678,-0.99,-49.27,409.0,1.53,1238
200.760,-1.06,-53.16,409.0,1.53,1238
200.842,-1.13,-56.54,409.0,1.53,1238
200.924,-1.17,-58.47,409.0,1.53,1238
